status file for recon-all
Mon Jan  1 19:41:19 UTC 2018
#@# MotionCor Mon Jan  1 19:41:46 UTC 2018
#@# Talairach Mon Jan  1 19:42:22 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 19:48:27 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 19:48:27 UTC 2018
#@# Intensity Normalization Mon Jan  1 20:00:33 UTC 2018
#@# Skull Stripping Mon Jan  1 20:07:05 UTC 2018
#@# EM Registration Mon Jan  1 21:04:16 UTC 2018
#@# CA Normalize Mon Jan  1 21:56:14 UTC 2018
#@# CA Reg Mon Jan  1 22:01:04 UTC 2018
#@# SubCort Seg Mon Jan  1 22:42:17 UTC 2018
Linux ali-2 3.13.0-121-generic #170-Ubuntu SMP Wed Jun 14 09:04:33 UTC 2017 x86_64 x86_64 x86_64 GNU/Linux

recon-all -s 3228 exited with ERRORS at Mon Jan  1 22:43:54 UTC 2018

